TotalRevenue,OperationCosts,PreTaxIncome,TotalTrips,TotalMiles,TotalHours,WeeklyMiles,WeeklyHours,HourlyWage,Location,EndLat,EndLng,StartLat,StartLng,UberFeesAndCommissions
41750,18214,10000,2582,16525,612,330,12,16.34,Philadelphia,39.952583,-75.165222,42.361145,-71.057083,13536
83500,36428,20000,5164,33050,1224,661,24,16.34,Cleveland,41.505493,-81.68129,42.361145,-71.057083,27071
125228,54628,30000,7744,49562,1836,991,37,16.34,Chicago,41.881832,-87.623177,42.361145,-71.057083,40599
166966,72835,40000,10325,66080,2447,1322,49,16.34,Orlando,28.538336,-81.379234,42.361145,-71.057083,54132
208727,91056,50000,12908,82611,3060,1652,61,16.34,New Orleans,29.951065,-90.071533,42.361145,-71.057083,67672
250466,109263,60000,15489,99130,3671,1983,73,16.34,Denver,39.742043,-104.991531,42.361145,-71.057083,81203
292205,127470,70000,18070,115648,4283,2313,86,16.34,Salt Lake City,40.758701,-111.876183,42.361145,-71.057083,94735
333955,145684,80000,20652,132173,4895,2643,98,16.34,Phoenix,33.448376,-112.074036,42.361145,-71.057083,108271
375705,163898,90000,23234,148698,5507,2974,110,16.34,Los Angeles,34.052235,-118.243683,42.361145,-71.057083,121807
417433,182098,100000,25814,165210,6119,3304,122,16.34,Seattle,47.608013,-122.335167,42.361145,-71.057083,135335