Time,Month,Year,Month&Year,Yellow Cab,Uber,Via,Lyft,Juno
1/1/15,1,2015,12015,411238,54369, -   , -   , -   
2/1/15,2,2015,22015,444633,63474, -   , -   , -   
3/1/15,3,2015,32015,430669,75492,409,386, -   
4/1/15,4,2015,42015,435701,63426,3694,2575, -   
5/1/15,5,2015,52015,424459,66857,5167,3788, -   
6/1/15,6,2015,62015,410831,78427,4647,3632, -   
7/1/15,7,2015,72015,372979,91007,5546,6248, -   
8/1/15,8,2015,82015,359029,117789,8287,12337, -   
9/1/15,9,2015,92015,374156,114897,6901,13575, -   
10/1/15,10,2015,102015,397244,122101,8262,12534, -   
11/1/15,11,2015,112015,377076,158736,10816,18209, -   
12/1/15,12,2015,122015,369686,118798,7168,14383, -   
1/1/16,1,2016,12016,351816,174656,13607,22612, -   
2/1/16,2,2016,22016,392470,157807,12182,22119,1
3/1/16,3,2016,32016,393886,149647,12733,21419,7
4/1/16,4,2016,42016,397780,157293,14708,24997,177
5/1/16,5,2016,52016,381878,203465,18539,38994,1811
6/1/16,6,2016,62016,371257,166814,15192,32217,7162
7/1/16,7,2016,72016,332231,222112,20390,35294,15553
8/1/16,8,2016,82016,320718,180318,16544,34250,14307
9/1/16,9,2016,92016,337321,203403,18658,33445,16593
10/1/16,10,2016,102016,350380,264888,25864,41341,24133
11/1/16,11,2016,112016,336737,220417,19343,36389,20507
12/1/16,12,2016,122016,337071,234779,19513,37505,19472
1/1/17,1,2017,12017,313229,292435,27598,51231,26677
2/1/17,2,2017,22017,327451,247160,21585,54448,24054
3/1/17,3,2017,32017,332075,257407,21498,57687,24687
4/1/17,4,2017,42017,334865,321514,30268,68664,29660
5/1/17,5,2017,52017,325857,266214,22728,59355,22271
6/1/17,6,2017,62017,321877,275421,26802,62791,19119
7/1/17,7,2017,72017,277042,333939,35123,86113,27008
8/1/17,8,2017,82017,271676,253101,28900,72457,28475
9/1/17,9,2017,92017,298163,294921,29266,78356,33401